textsentence_id,text_id,sentence_id,word_count,sentiment,sentence,language
Megablast01_0,Megablast01,0,23,0.0,"""Smarter over time"", I really hope it is because there are quite a few bugs as of October 2017.",English
Megablast01_1,Megablast01,1,71,0.241702741703,"Whilst the sound is very impressive and better than many speakers at a similar price point, it is missing certain features from the megaboom such as the remote power on function (the ability to turn on the speaker with your phone), the ability to check battery status by holding the volume up and down buttons, and being able to ""join"" speakers for stereo.",English
Megablast01_2,Megablast01,2,50,0.302142857143,"This speaker does come with Amazon Alexa which I did not think that I would use but it has come in very useful as I can connect smart home products to it (and control via voice, eg lights) and switching songs when not using a phone.",English
Megablast01_3,Megablast01,3,27,0.0,"However, at launch it only supports a couple of services including Amazon music, Spotify is not yet included but should be in the future.",English
Megablast01_4,Megablast01,4,48,-0.0666666666667,"One of the most annoying bugs that I have so far found is that when it is fully charged but plugged in, sometimes it will go into a boot loop where it will switch off, switch on and connect to devices before switching off again.",English
Megablast01_5,Megablast01,5,27,-0.8,"Another annoying thing I have found is that if you are playing music through Bluetooth and use Alexa for something, it will disconnect your phone.",English
Megablast01_6,Megablast01,6,25,0.25,"Overall, I would recommend this speaker but I would suggest waiting until the software has been updated unless you are okay with bugs.",English
Megablast02_0,Megablast02,0,10,0.0,Alexa does not work unless you yell at it.,English
Megablast02_1,Megablast02,1,9,-0.8,Turns off when the base does not connect.,English
Megablast03_0,Megablast03,0,19,0.0,I have had this only a couple of days; I am still learning its capabilities and quirks.,English
Megablast03_1,Megablast03,1,39,0.0,"As the MEGABLAST was supposed to be back ordered for a couple of weeks, and I needed a portable speaker for a specific event I bought a BLAST last week and had used it for several days.",English
Megablast03_2,Megablast03,2,14,0.371428571429,The MEGABLAST certainly has better sound quality and battery life than the BLAST.,English
Megablast03_3,Megablast03,3,21,0.286666666667,They are easy to connect to most sources and I have enjoyed ALEXA for simple commands such as volume control.,English
Megablast03_4,Megablast03,4,16,0.391666666667,The bluetooth range is greater than I have ever experienced with other brands of speakers.,English
Megablast03_5,Megablast03,5,34,0.0,"I have used the speakers with iPhones, iPods, iPads, and a LG OLED television
.......however........
it will not connect properly to my iMac or MACmini.",English
Megablast03_6,Megablast03,6,11,-0.2,They will connect for a few seconds and then disconnect.,English
Megablast03_7,Megablast03,7,7,-0.2,No sound ever came from them.,English
Megablast03_8,Megablast03,8,21,-0.125,I contacted UE Support and they were not aware of this problem but will report it to the software designers.,English
Megablast03_9,Megablast03,9,35,0.25,"It also appears that they did not include many features that were on the BOOM and MEGABOOM such as ""Block Party"", ""Multi Host"", and ""Speaker Phone"".",English
Megablast03_10,Megablast03,10,14,-0.1,I have given the MEGABLAST only 3 stars because of these missing features.,English
Megablast03_11,Megablast03,11,12,0.0,I am hoping that UE will add them in future updates.,English
Megablast03_12,Megablast03,12,35,0.7,"I am returning the BLAST because of the lack of ""Block Party""

In summary, I recommend the MEGABLAST because of its excellent sound, range of bluetooth, and battery life.",English
Megablast03_13,Megablast03,13,18,0.166666666667,I would consider keeping the BLAST only because it is smaller and therefore more convenient to carry around,English
Megablast04_0,Megablast04,0,9,0.0,Buy the UE MEGABOOM instead of this MEGABLAST.,English
Megablast04_1,Megablast04,1,32,0.0928571428571,This takes one single step forward by adding Amazon Alexa (which is still not as fully capable as a normal Amazon Echo) and about three to four steps backwards.,English
Megablast04_2,Megablast04,2,9,0.3,This gets loud and it sounds just ok.,English
Megablast04_3,Megablast04,3,8,-0.220833333333,There is hardly any bass in it.,English
Megablast04_4,Megablast04,4,10,0.175,The MEGABOOM on the other hand has great bass.,English
Megablast04_5,Megablast04,5,14,0.0,The companion app has basically removed all the features/options that the MEGABOOM has.,English
Megablast04_6,Megablast04,6,10,0.0,"No equalizer, no PartyUp, no notification controls.",English
